channel,lo_ghz,baseline_psd_median_dbhz,idle_psd_median_dbhz,delta_median_db,delta_peak_db
1,2.412,-118.66101837158203,-116.45863342285156,2.234180450439453,7.243659973144531
6,2.437,-118.84825134277344,-116.15219116210938,2.608917236328125,8.082382202148438
11,2.462,-119.57486724853516,-116.47711181640625,2.9038658142089844,7.672157287597656
